ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
EP011949,            UNNAMED,19490611,0,  , TS,20.2N,106.3W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490611,600,  , TS,20.2N,106.4W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490611,1200,  , TS,20.2N,106.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490611,1800,  , TS,20.3N,107.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490612,0,  , TS,20.4N,108.6W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490612,600,  , TS,20.5N,109.4W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490612,1200,  , TS,20.6N,110.2W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490617,1200,  , TS,14.1N,107.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490617,1800,  , TS,14.6N,107.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490618,0,  , TS,15.0N,108.4W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490618,600,  , TS,15.4N,109.2W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490618,1200,  , TS,15.7N,110.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490618,1800,  , TS,16.0N,110.8W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490619,0,  , TS,16.3N,111.6W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490619,600,  , TS,16.7N,112.3W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490619,1200,  , TS,17.1N,112.9W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490619,1800,  , TS,17.5N,113.5W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490620,0,  , TS,18.0N,114.1W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490620,600,  , TS,18.4N,114.6W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490620,1200,  , TS,18.9N,115.1W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490620,1800,  , TS,19.4N,115.6W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490621,0,  , TS,19.9N,116.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490621,600,  , TS,20.4N,116.4W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490621,1200,  , TS,21.0N,116.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490621,1800,  , TS,21.5N,117.1W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490622,0,  , TS,22.0N,117.5W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490622,600,  , TS,22.5N,117.8W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490622,1200,  , TS,23.1N,118.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490622,1800,  , TS,23.9N,118.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490623,0,  , TS,24.7N,117.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
